Index;Latitude;Longitude;Distance from Tx [km];Terrain height [m a.s.l.]
454;51,2626655703343;16,5285003415884;45,4;105
455;51,2622381703962;16,5272358345895;45,5;105
456;51,2618107568366;16,5259713511067;45,6;100
457;51,2613833296561;16,52470689114;45,7;103
458;51,2609558888551;16,5234424546892;45,8;105
459;51,2605284344341;16,5221780417544;45,9;104
460;51,2601009663936;16,5209136523354;46;99
461;51,2596734847339;16,5196492864323;46,1;98
462;51,2592459894555;16,518384944045;46,2;102
463;51,258818480559;16,5171206251735;46,3;99
464;51,2583909580448;16,5158563298177;46,4;98
465;51,2579634219133;16,5145920579775;46,5;100
466;51,257535872165;16,5133278096529;46,6;101
467;51,2571083088004;16,5120635848439;46,7;94
468;51,2566807318199;16,5107993835504;46,8;99
469;51,2562531412241;16,5095352057724;46,9;97
470;51,2558255370132;16,5082710515098;47;95
471;51,2553979191878;16,5070069207625;47,1;92
472;51,2549702877485;16,5057428135306;47,2;98
473;51,2545426426955;16,504478729814;47,3;96
474;51,2541149840295;16,5032146696125;47,4;96
475;51,2536873117508;16,5019506329263;47,5;100
476;51,2532596258599;16,5006866197551;47,6;92
477;51,2528319263573;16,4994226300991;47,7;93
478;51,2524042132435;16,4981586639581;47,8;107
479;51,2519764865188;16,496894721332;47,9;95
480;51,2515487461839;16,4956308022209;48;99
481;51,251120992239;16,4943669066247;48,1;106
482;51,2506932246847;16,4931030345433;48,2;97
483;51,2502654435215;16,4918391859767;48,3;110
484;51,2498376487498;16,4905753609248;48,4;106
485;51,24940984037;16,4893115593876;48,5;105
486;51,2489820183827;16,4880477813651;48,6;120
487;51,2485541827883;16,4867840268571;48,7;113
488;51,2481263335872;16,4855202958637;48,8;112
489;51,2476984707799;16,4842565883847;48,9;112
490;51,2472705943669;16,4829929044202;49;112
491;51,2468427043487;16,4817292439701;49,1;105
492;51,2464148007257;16,4804656070343;49,2;111
493;51,2459868834983;16,4792019936129;49,3;109
494;51,245558952667;16,4779384037056;49,4;109
495;51,2451310082323;16,4766748373126;49,5;99
496;51,2447030501947;16,4754112944337;49,6;96
497;51,2442750785545;16,4741477750688;49,7;89
498;51,2438470933124;16,4728842792181;49,8;93
499;51,2434190944686;16,4716208068813;49,9;101
500;51,2429910820238;16,4703573580584;50;88
501;51,2425630559783;16,4690939327495;50,1;82
502;51,2421350163326;16,4678305309544;50,2;96
503;51,2417069630872;16,466567152673;50,3;99
504;51,2412788962425;16,4653037979054;50,4;103
